City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nanortalik,60.1432,-45.2371,-7.59,52,2,13.35,GL,1674266309
1,altay,47.8667,88.1167,-21.53,91,91,1.95,CN,1674266309
2,arkhara,49.4212,130.0842,-36.57,89,41,1.66,RU,1674266309
3,avarua,-21.2078,-159.775,29.03,74,20,6.69,CK,1674266309
4,bethel,41.3712,-73.414,5.52,75,54,0.45,US,1674266309
5,mahebourg,-20.4081,57.7,24.16,94,75,1.54,MU,1674266309
6,rikitea,-23.1203,-134.9692,26.14,71,87,3.89,PF,1674266309
7,bluff,-46.6,168.3333,14.18,55,62,5.04,NZ,1674266309
8,talnakh,69.4865,88.3972,-34.33,85,93,4.75,RU,1674266310
9,hilo,19.7297,-155.09,27.93,77,0,4.02,US,1674266310
10,diu,20.7141,70.9822,16.35,43,0,2.3,IN,1674266310
11,nikolskoye,59.7035,30.7861,-1.06,94,100,1.49,RU,1674266310
12,nuuk,64.1835,-51.7216,-15.07,77,15,5.81,GL,1674266310
13,port alfred,-33.5906,26.891,22.32,97,6,3.53,ZA,1674266311
14,mayo,38.8876,-76.5119,6.21,59,75,5.14,US,1674266117
15,tadine,-21.55,167.8833,26.23,79,100,9.61,NC,1674266311
16,victoria,22.2855,114.1577,18.03,80,91,4.47,HK,1674266249
17,verkhovazhye,60.7472,42.0465,1.04,98,100,4.06,RU,1674266311
18,ribeira grande,38.5167,-28.7,16.54,85,25,7.15,PT,1674266312
19,kloulklubed,7.0419,134.2556,27.4,81,99,8.74,PW,1674266312
20,dingzhou,38.5131,114.9956,-4.94,24,30,2.3,CN,1674266312
21,port elizabeth,-33.918,25.5701,22.83,97,75,1.34,ZA,1674266312
22,barrow,71.2906,-156.7887,-20.63,98,100,3.01,US,1674266312
23,kruisfontein,-34.0033,24.7314,21.6,98,33,0.94,ZA,1674266312
24,hamilton,39.1834,-84.5333,1.91,73,32,1.79,US,1674266312
25,arraial do cabo,-22.9661,-42.0278,22.48,93,100,7.86,BR,1674266313
26,alice springs,-23.7,133.8833,26.75,39,100,5.14,AU,1674266208
27,ziarat,30.3823,67.7282,-5.68,78,54,1.51,PK,1674266313
28,acarau,-2.8856,-40.12,25.65,80,93,4.71,BR,1674266313
29,cabo san lucas,22.8909,-109.9124,20.28,68,0,0.45,MX,1674266313
30,baykit,61.67,96.37,-41.17,95,20,1.14,RU,1674266313
31,ponta do sol,32.6667,-17.1,16.35,58,37,2.61,PT,1674266313
32,lebu,-37.6167,-73.65,14.33,92,2,3.88,CL,1674266314
33,berlevag,70.8578,29.0864,2.0,69,99,10.29,NO,1674266314
34,bredasdorp,-34.5322,20.0403,18.67,88,0,1.18,ZA,1674266314
35,puerto ayora,-0.7393,-90.3518,24.19,96,40,0.45,EC,1674266314
36,khani,41.9563,42.9566,4.76,50,100,3.16,GE,1674266315
37,bergen,60.392,5.328,-1.17,83,30,3.09,NO,1674266315
38,georgetown,5.4112,100.3354,26.96,87,20,2.57,MY,1674266026
39,olafsvik,64.8945,-23.7142,4.73,94,100,10.99,IS,1674266315
40,port macquarie,-31.4333,152.9167,23.83,52,21,4.85,AU,1674266315
41,hobart,-42.8794,147.3294,21.14,72,75,6.69,AU,1674266226
42,thompson,55.7435,-97.8558,-7.91,93,100,3.6,CA,1674266315
43,mirnyy,62.5353,113.9611,-42.65,64,100,1.79,RU,1674266316
44,pisco,-13.7,-76.2167,22.03,78,100,3.6,PE,1674266316
45,punta arenas,-53.15,-70.9167,12.06,71,0,3.6,CL,1674266316
46,hermanus,-34.4187,19.2345,19.89,87,0,1.48,ZA,1674266316
47,goderich,43.7501,-81.7165,-0.05,93,100,6.69,CA,1674266316
48,yeniseysk,58.4497,92.1703,-46.84,99,21,0.5,RU,1674266316
49,provideniya,64.3833,-173.3,-29.28,88,8,2.26,RU,1674266317
50,veraval,20.9,70.3667,17.01,43,0,4.58,IN,1674266317
51,aklavik,68.2191,-135.0107,-30.43,100,84,0.08,CA,1674266317
52,kidal,18.4411,1.4078,19.41,13,0,3.82,ML,1674266317
53,panalingaan,8.7842,117.4231,28.53,69,100,1.44,PH,1674266317
54,saint-augustin,51.226,-58.6502,-8.96,85,100,3.1,CA,1674266317
55,hambantota,6.1241,81.1185,22.19,100,40,0.51,LK,1674266318
56,chuy,-33.6971,-53.4616,22.33,85,100,6.51,UY,1674266318
57,new norfolk,-42.7826,147.0587,20.4,44,96,0.45,AU,1674266318
58,iquitos,-3.7481,-73.2472,24.02,94,75,0.51,PE,1674266318
59,ushuaia,-54.8,-68.3,10.81,82,75,2.57,AR,1674266288
60,gondang,-7.0109,111.3189,27.58,76,25,2.25,ID,1674266318
61,nouadhibou,20.931,-17.0347,16.99,88,0,5.66,MR,1674266319
62,padang,-0.9492,100.3543,24.03,83,93,0.87,ID,1674266215
63,yulara,-25.2406,130.9889,30.25,18,5,4.7,AU,1674266312
64,voznesenye,61.0106,35.4781,-6.22,97,89,2.88,RU,1674266319
65,lata,40.1629,-8.3327,12.82,95,100,2.22,PT,1674266319
66,orizona,-17.0314,-48.2958,19.54,92,99,1.41,BR,1674266319
67,bengkulu,-3.8004,102.2655,25.14,84,100,0.94,ID,1674266319
68,kapaa,22.0752,-159.319,26.18,75,75,8.75,US,1674266319
69,catalina,32.5056,-110.9211,7.76,49,0,0.89,US,1674266320
70,lorengau,-2.0226,147.2712,28.05,76,100,3.44,PG,1674266320
71,bagdarin,54.4333,113.6,-33.71,90,93,0.73,RU,1674266320
72,bay roberts,47.5999,-53.2648,0.08,97,100,5.36,CA,1674266320
73,ust-kut,56.7938,105.7672,-41.41,100,96,0.3,RU,1674266320
74,sahateni,45.0333,26.5167,3.07,80,66,5.4,RO,1674266320
75,atuona,-9.8,-139.0333,26.19,75,10,7.57,PF,1674266320
76,vaini,-21.2,-175.2,31.09,79,75,4.12,TO,1674266320
77,meulaboh,4.1363,96.1285,23.89,91,93,2.09,ID,1674266321
78,dicabisagan,17.0818,122.4157,23.63,86,100,4.8,PH,1674266321
79,fairbanks,64.8378,-147.7164,-16.33,83,98,0.41,US,1674266321
80,leh,34.1667,77.5833,-15.56,96,99,0.74,IN,1674266038
